Date,Country,HomeCountry,Home,AwayCountry,Away,HomeGoals,AwayGoals,HomeExGoals,AwayExGoals,HFA,EloChange,HomeElo,AwayElo,HomeTilt,AwayTilt,HomeRank,AwayRank,day_name,period,day_type,stadium,stint_id,coach,start_date,end_date
02/04/1983,NED,NED,Breda,NED,Twente,3,1,1.522199273,1.035327673,103.1683426,8.6811409,1396.967651,1424.992798,1.021273136,1.035384774,,,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,42,Jo Jansen,22/01/1979,30/06/1983
14/09/2024,NED,NED,Breda,NED,Sittard,1,0,1.212797165,1.379060507,55.10585022,9.114153862,1312.092163,1403.270874,1.023997426,1.016831279,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,0,Carl Hoefkens,01/07/2024,31/12/2028
11/09/1976,NED,NED,Breda,NED,Den Haag,1,0,1.409579515,1.133797765,121.8716583,7.058334827,1484.500122,1570.390625,0.96443665,1.056023836,,,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,44,Bob Maaskant,01/07/1975,30/06/1977
22/08/1981,NED,NED,Breda,NED,Haarlem,2,0,1.755169153,0.886469305,109.2273865,5.77576685,1506.155762,1445.438477,1.080636144,0.97489512,,,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,42,Jo Jansen,22/01/1979,30/06/1983
10/09/1977,NED,NED,Breda,NED,Vitesse,1,1,1.720462561,0.743528128,128.7729797,-5.352663517,1508.768555,1429.949707,0.914900899,0.983618379,,,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,43,Hans Dorjee,01/07/1977,30/06/1979
30/05/1981,NED,NED,Breda,NED,Groningen,4,2,1.844846964,0.951004624,111.347435,5.969706535,1483.906738,1436.240112,1.058860064,1.089868903,,,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,42,Jo Jansen,22/01/1979,30/06/1983
26/10/2013,NED,NED,Breda,NED,Go Ahead Eagles,5,0,1.82167089,0.920547545,88.37833405,8.59842968,1412.508179,1318.755493,1.015642047,1.057195902,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,17,Nebojsa Gudelj,21/11/2012,13/10/2014
02/03/2013,NED,NED,Breda,NED,Heerenveen,1,2,1.551012635,1.347689271,80.21569824,-8.741933823,1426.088135,1468.941162,1.016479969,1.265111566,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,17,Nebojsa Gudelj,21/11/2012,13/10/2014
24/10/2009,NED,NED,Breda,NED,Waalwijk,1,0,2.205839157,0.774601936,83.94537354,2.247230291,1494.334717,1290.993042,1.060784578,1.007201433,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,21,Robert Maaskant,01/07/2008,20/08/2010
23/04/1994,NED,NED,Breda,NED,Vitesse,2,2,1.279286265,1.291721702,84.10218048,0.621496379,1463.291626,1569.014648,1.094425917,0.993619978,,,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,32,Ronald Spelbos,01/01/1993,30/06/1995
