Date,Country,HomeCountry,Home,AwayCountry,Away,HomeGoals,AwayGoals,HomeExGoals,AwayExGoals,HFA,EloChange,HomeElo,AwayElo,HomeTilt,AwayTilt,HomeRank,AwayRank,day_name,period,day_type,stadium,stint_id,coach,start_date,end_date
1977-09-10,NED,NED,Breda,NED,Vitesse,1,1,1.72046256065,0.74352812767,128.772979736,-5.352663517,1508.76855469,1429.94970703,0.914900898933,0.983618378639,,,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,43,Hans Dorjee,1977-07-01,1979-06-30
1972-11-05,NED,NED,Breda,NED,Excelsior,2,1,1.86887967587,0.712362527847,113.541595459,2.8515791893,1452.98339844,1321.79968262,1.03553676605,0.827139675617,,,Sunday,pre_avondje,sunday,beatrix_straat,47,Ben Peeters,1971-07-01,1973-05-01
1966-11-27,NED,NED,Breda,NED,PSV,3,0,1.7223058939,1.76545715332,75.7757720947,13.6902275085,1300.04150391,1393.03796387,1.00981962681,1.16693925858,,,Sunday,pre_avondje,sunday,beatrix_straat,49,Bob Janse,1966-07-01,1968-04-09
1981-05-30,NED,NED,Breda,NED,Groningen,4,2,1.84484696388,0.951004624367,111.347434998,5.96970653534,1483.90673828,1436.2401123,1.05886006355,1.08986890316,,,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,42,Jo Jansen,1979-01-22,1983-06-30
2013-10-26,NED,NED,Breda,NED,Go Ahead Eagles,5,0,1.82167088985,0.920547544956,88.3783340454,8.59842967987,1412.50817871,1318.75549316,1.01564204693,1.05719590187,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,17,Nebojsa Gudelj,2012-11-21,2014-10-13
1964-05-07,NED,NED,Breda,NED,Feyenoord,3,1,1.5335214138,1.82385313511,74.8787307739,12.5258846283,1385.07666016,1514.359375,1.05347156525,1.01719725132,,,Thursday,pre_avondje,sunday,beatrix_straat,50,Siem Plooijer,1961-07-01,1966-06-30
1970-11-29,NED,NED,Breda,NED,Utrecht,1,2,1.82068312168,1.03113973141,106.400588989,-11.0480937958,1439.69824219,1420.15283203,1.05578792095,1.08045196533,,,Sunday,pre_avondje,sunday,beatrix_straat,48,Leo Canjels,1968-04-09,1971-06-30
2010-09-12,NED,NED,Breda,NED,Feyenoord,2,0,1.37360787392,1.24319815636,93.4595947266,11.1975383759,1474.78479004,1560.63452148,1.05132460594,1.04596793652,,,Sunday,sunday_rat,sunday,rat_verlegh,20,Gert Aandewiel,2010-08-21,2011-06-30
2006-11-10,NED,NED,Breda,NED,Heerenveen,1,1,1.38076865673,1.51382529736,82.0654449463,1.14260184765,1446.23132324,1568.16894531,1.10602772236,1.10968947411,,,Friday,weekday_rat,weekday,rat_verlegh,22,Ernie Brandts,2006-07-01,2008-06-30
2012-05-06,NED,NED,Breda,NED,Waalwijk,3,2,1.50392997265,0.973287284374,101.989532471,5.30486345291,1464.48449707,1450.91088867,1.03229165077,0.932493269444,,,Sunday,sunday_rat,sunday,rat_verlegh,19,John Karelse,2011-07-01,2012-10-23
